psraid,sample,state,cregion,usr,eminuse,intmob,pialql1,smart1,SmartPhone,pial1,pial2,pial3,pial4,pial5,pial6,pial7,pial8,employ,par,sex,age,educ2,hisp,race,inc,weight,standwt
102701,1,18,2,U,1,2,1,2,2,2,2,2,2,2, ,2, ,3,2,2,68,5,1,1,99,2.26086956521739,.541141984417608
102705,1,19,2,R,1,1,1,8,2,1,1,2,2,2, ,2, ,3,2,2,69,4,2,1,3,1.39130434782609,.333010451949298
102717,1,27,2,R,1,2,1,2,2,2,2,2,2,2, ,2, ,3,2,2,69,8,2,1,6,1,.239351262338558
102720,1,20,2,U,1,2,1,2,2,1,2,2,2,2, ,2, ,1,2,2,59,4,2,1,5,1.30434782608696,.312197298702466
102723,1,48,3,U,1,1,1,1,1,2,2,2,2,2, ,2, ,1,9,1,99,8,9,9,99,1.34782608695652,.322603875325882
102727,1,29,2,U,1,1,1,1,1,1,1,2,1,2, ,1,6,1,2,2,50,8,2,1,7,2.73913043478261,.655614327275179
102736,1,47,3,U,1,2,1,2,2,1,1,2,2,2, ,2, ,1,1,1,50,8,2,1,99,3.34782608695652,.801306400002997
102761,1,48,3,S,1,1,1,2,2,1,1,1,1,2, ,2, ,3,1,1,71,4,2,1,8,2.56521739130435,.613988020781517
102777,1,27,2,S,1,1,1,1,1,1,1,2,2,2, ,2, ,3,1,2,41,4,2,2,2,4.34782608695652,1.04065766234155
102784,1,48,3,R,1,2,1,2,2,2,2,2,2,2, ,2, ,3,2,2,64,3,2,1,99,3.04347826086957,.728460363639088
200005,2,44,1,S,1,1, ,1,1,1,1,1,1,1,4,1,1,3,2,1,18,4,2,1,7,5.65217391304348,1.35285496104402
200010,2,37,3,U,1,1, ,1,1,2,2,2,2,2, ,2, ,1,1,1,48,4,2,2,6,4.34782608695652,1.04065766234155
200012,2,51,3,S,1,2, ,1,1,1,1,2,1,2, ,2, ,1,1,2,52,3,2,1,7,6.78260869565217,1.62342595325283
200014,2,37,3,R,2,2, ,1,1, , , , ,2, ,2, ,3,2,2,56,3,2,2,1,1.60869565217391,.385043335066375
200019,2,26,2,R,1,1, ,2,2,2,2,2,2,1,6,2, ,2,2,1,59,4,2,1,9,3,.718053787015673
200026,2,12,3,U,1,1, ,2,2,2,2,2,2,2, ,2, ,3,2,2,70,3,2,1,5,2.04347826086957,.489109101300531
